"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2004-06-21";"4008.50000";"4029.11000";"3977.80000";"3989.31000";"0"
"3830";"2004-06-22";"3985.42000";"3985.42000";"3916.42000";"3928.39000";"0"
"3830";"2004-06-23";"3933.85000";"3966.89000";"3933.85000";"3945.10000";"0"
"3830";"2004-06-24";"3954.21000";"4012.67000";"3954.21000";"4007.05000";"0"
"3830";"2004-06-25";"4006.74000";"4020.16000";"3987.02000";"4013.35000";"0"
"3830";"2004-06-28";"4016.82000";"4076.58000";"4004.50000";"4069.35000";"0"
"3830";"2004-06-29";"4067.92000";"4086.07000";"4050.22000";"4069.73000";"0"
"3830";"2004-06-30";"4070.07000";"4090.75000";"4052.73000";"4052.73000";"0"
"3830";"2004-07-01";"4078.36000";"4101.52000";"4026.56000";"4035.02000";"0"
"3830";"2004-07-02";"4030.46000";"4030.46000";"3990.50000";"3998.77000";"0"
"3830";"2004-07-05";"3998.19000";"4011.54000";"3991.16000";"3995.73000";"0"
"3830";"2004-07-06";"4001.54000";"4008.10000";"3935.92000";"3944.88000";"0"
"3830";"2004-07-07";"3944.36000";"3958.89000";"3922.46000";"3930.58000";"0"
"3830";"2004-07-08";"3921.42000";"3936.99000";"3894.73000";"3934.48000";"0"
"3830";"2004-07-09";"3932.26000";"3932.59000";"3882.75000";"3924.49000";"0"
"3830";"2004-07-12";"3911.54000";"3928.07000";"3884.42000";"3893.24000";"0"
"3830";"2004-07-13";"3897.31000";"3919.24000";"3892.14000";"3903.88000";"0"
"3830";"2004-07-14";"3894.57000";"3898.84000";"3851.35000";"3898.84000";"0"
"3830";"2004-07-15";"3898.20000";"3898.20000";"3847.19000";"3847.19000";"0"
"3830";"2004-07-16";"3848.14000";"3883.06000";"3837.63000";"3845.93000";"0"
"3830";"2004-07-19";"3845.03000";"3845.80000";"3812.63000";"3812.63000";"0"
"3830";"2004-07-20";"3809.36000";"3839.73000";"3785.34000";"3837.60000";"0"
"3830";"2004-07-21";"3849.64000";"3899.42000";"3849.64000";"3877.48000";"0"
"3830";"2004-07-22";"3867.21000";"3867.21000";"3796.29000";"3801.05000";"0"
"3830";"2004-07-23";"3805.30000";"3824.76000";"3785.29000";"3797.33000";"0"
"3830";"2004-07-26";"3795.66000";"3811.38000";"3749.04000";"3752.59000";"0"
"3830";"2004-07-27";"3755.43000";"3815.12000";"3755.43000";"3814.08000";"0"
"3830";"2004-07-28";"3829.04000";"3856.66000";"3797.74000";"3807.21000";"0"
"3830";"2004-07-29";"3815.36000";"3895.35000";"3815.36000";"3889.68000";"0"
"3830";"2004-07-30";"3900.89000";"3911.30000";"3867.08000";"3895.61000";"0"
"3830";"2004-08-02";"3891.18000";"3891.18000";"3841.73000";"3862.71000";"0"
"3830";"2004-08-03";"3869.14000";"3891.78000";"3864.79000";"3877.32000";"0"
"3830";"2004-08-04";"3867.47000";"3867.47000";"3807.25000";"3823.74000";"0"
"3830";"2004-08-05";"3834.27000";"3858.66000";"3828.69000";"3829.03000";"0"
"3830";"2004-08-06";"3818.78000";"3818.78000";"3719.46000";"3727.74000";"0"
"3830";"2004-08-09";"3726.51000";"3736.55000";"3666.05000";"3690.33000";"0"
"3830";"2004-08-10";"3691.61000";"3721.31000";"3685.92000";"3720.64000";"0"
